,Series6_A549-ACE2_Mock_1,Series6_A549-ACE2_Mock_2,Series6_A549-ACE2_Mock_3,Series6_A549-ACE2_SARS-CoV-2_1,Series6_A549-ACE2_SARS-CoV-2_2,Series6_A549-ACE2_SARS-CoV-2_3,Series16_A549-ACE2_Mock_1,Series16_A549-ACE2_Mock_2,Series16_A549-ACE2_Mock_3,Series16_A549-ACE2_SARS-CoV-2_1,Series16_A549-ACE2_SARS-CoV-2_2,Series16_A549-ACE2_SARS-CoV-2_3
MIR4251,0,0,0,0,0,0,0,0,0,0,0,0
ARHGEF16,44,6,27,3,3,3,12,43,31,8,11,10
MEGF6,65,10,54,3,3,2,23,121,96,20,24,24
MIR551A,0,0,0,0,0,0,0,0,0,0,0,0
TPRG1L,949,87,703,157,37,45,99,472,423,71,74,66
WRAP73,264,20,203,112,32,18,24,161,97,50,54,47
TP73,5,0,5,6,0,1,2,28,25,0,6,3
TP73-AS1,205,13,131,62,15,10,23,128,94,49,29,34
CCDC27,0,0,0,0,0,0,0,0,0,0,0,0
SMIM1,4,0,2,1,2,1,0,5,0,2,0,0
LRRC47,1229,103,910,196,82,50,105,535,419,144,154,136
CEP104,401,40,351,83,18,21,59,298,236,55,73,59
DFFB,40,8,41,8,1,0,7,29,17,9,7,7
C1orf174,237,31,175,36,18,10,19,113,97,60,67,52
AJAP1,0,0,0,0,0,0,0,0,0,0,0,0
MIR4689,0,0,0,0,0,0,0,0,0,0,0,0
NPHP4,130,7,99,22,5,7,13,66,56,15,10,11
KCNAB2,548,56,426,92,33,16,71,236,212,14,22,8
CHD5,2,1,4,3,0,0,0,4,5,4,2,0
RPL22,4924,387,2795,1065,284,302,581,2553,2226,508,597,600
RNF207,557,56,388,107,31,25,20,103,98,56,56,49
ICMT,1118,101,687,217,61,56,208,1093,807,146,121,154
HES3,0,0,0,0,0,0,1,0,0,0,0,0
GPR153,34,2,15,8,0,0,4,42,28,7,9,6
ACOT7,861,91,626,108,51,18,104,659,485,72,101,64
HES2,104,15,90,51,7,7,9,54,43,12,12,11
ESPN,0,0,0,0,0,0,2,3,1,0,1,0
MIR4252,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF25,6,0,6,2,0,1,1,4,5,3,6,5
PLEKHG5,22,2,29,10,3,2,5,22,36,15,14,14
NOL9,426,48,323,139,33,33,42,204,194,97,102,125
TAS1R1,2,0,1,0,0,0,0,0,0,0,0,0
ZBTB48,110,12,88,69,26,20,14,79,52,37,34,45
KLHL21,795,81,625,146,40,32,55,325,238,120,146,129
PHF13,177,18,110,53,17,15,37,182,142,120,127,151
THAP3,192,17,171,75,17,23,19,89,73,109,94,119
DNAJC11,1527,154,1076,282,70,74,116,478,427,143,137,147
CAMTA1,394,40,301,79,20,22,56,253,196,96,93,123
VAMP3,1626,135,959,298,69,84,258,1284,960,274,278,253
PER3,75,7,44,116,23,21,14,77,68,222,196,255
UTS2,2,0,0,0,0,0,0,1,1,1,0,1
TNFRSF9,439,39,286,104,21,23,31,122,90,337,318,329
PARK7,3714,273,2288,470,155,140,397,2123,1860,254,316,313
ERRFI1,3612,361,2172,942,264,278,939,3959,3379,3233,4084,4531
SLC45A1,78,4,72,22,5,4,16,93,58,29,23,25
RERE,693,62,400,163,66,32,70,358,267,212,257,243
ENO1,45338,4000,30454,5791,1858,1682,7642,36237,31254,4401,5075,4911
ENO1-AS1,5,1,1,1,0,3,0,1,0,1,0,1
CA6,0,0,0,0,0,0,0,0,0,0,0,0
SLC2A7,0,0,0,0,0,0,0,0,1,0,0,0
SLC2A5,10,1,14,7,2,3,1,15,9,7,5,7
GPR157,49,4,40,18,2,7,3,22,19,7,9,8
MIR34A,6,0,3,1,2,0,0,2,1,3,4,2
H6PD,463,33,350,105,29,24,114,546,443,125,128,129
SPSB1,628,51,521,197,74,43,51,267,215,133,183,130
SLC25A33,69,7,54,37,10,8,8,50,45,30,39,38
TMEM201,120,11,96,20,6,2,10,103,45,20,16,18
PIK3CD,276,27,165,46,8,15,18,97,72,40,54,55
CLSTN1,3776,331,2823,593,191,147,503,2277,1793,548,516,469
CTNNBIP1,79,6,84,12,3,2,14,116,67,17,27,19
LZIC,348,31,202,62,14,26,37,204,163,72,51,63
NMNAT1,293,25,203,45,13,10,28,177,112,37,32,30
RBP7,6,0,2,0,0,0,1,6,6,2,4,2
UBE4B,332,23,163,81,25,28,57,248,173,58,52,45
KIF1B,1143,94,636,206,68,70,179,920,631,291,266,255
PGD,23653,2061,16409,3648,1112,1038,2928,12460,10436,1426,1287,1084
CORT,0,0,1,1,0,0,1,1,3,0,0,0
DFFA,637,65,377,116,21,37,50,253,216,37,34,26
PEX14,298,40,257,81,24,12,39,137,127,54,60,59
CASZ1,116,5,96,32,14,8,7,61,46,34,44,38
C1orf127,0,0,0,0,0,0,0,0,0,0,0,0
TARDBP,3939,355,2267,1093,307,283,435,2061,1646,941,1138,1120
MASP2,2,0,1,0,0,0,2,39,23,32,42,41
SRM,247,30,199,60,19,10,47,258,195,44,33,33
EXOSC10,1242,125,949,259,62,65,111,571,497,144,181,183
MTOR,1263,105,773,219,51,62,148,756,483,159,162,155
MTOR-AS1,0,0,1,0,0,0,0,1,0,0,1,0
ANGPTL7,0,0,0,3,0,0,0,2,0,0,1,1
UBIAD1,285,27,209,52,16,15,20,155,112,37,24,32
FBXO2,129,19,69,25,7,7,13,53,45,11,13,12
FBXO44,495,57,391,168,44,32,44,252,200,66,81,94
FBXO6,26,4,23,14,5,3,7,32,30,32,33,8
MAD2L2,126,9,93,33,8,7,38,175,109,29,30,40
DRAXIN,5,2,3,3,0,0,0,5,2,1,1,0
AGTRAP,612,77,522,124,42,25,77,354,326,63,62,68
MTHFR,440,41,301,103,33,25,39,194,150,95,79,88
CLCN6,308,35,260,116,35,32,28,119,100,97,108,90
NPPA-AS1,6,2,8,2,2,0,0,0,0,0,0,1
NPPA,0,0,0,0,0,0,0,1,0,1,1,0
NPPB,1,0,2,0,0,0,0,11,6,4,0,2
KIAA2013,820,102,728,174,40,56,153,641,475,113,125,129
PLOD1,2087,205,1592,228,84,59,808,3784,3008,489,479,410
MFN2,1808,182,1142,428,131,88,202,925,673,289,344,362
MIIP,148,17,118,54,17,10,11,36,41,20,21,24
TNFRSF8,1,0,0,0,0,0,0,0,3,1,0,1
TNFRSF1B,1,0,6,5,0,1,0,16,10,4,12,5
MIR4632,0,0,0,0,0,0,0,0,0,0,0,0
VPS13D,657,43,360,127,34,42,81,351,320,153,158,148
SNORA59B,0,0,0,0,0,0,0,0,0,0,0,0
SNORA59A,0,0,0,0,0,0,0,0,0,0,0,0
DHRS3,2363,252,1745,735,212,204,230,1089,957,446,505,584
AADACL4,0,0,2,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,1,0,0
C1orf158,0,0,0,0,0,0,0,0,1,0,0,0
PRAMEF12,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF1,0,0,0,0,0,0,0,0,0,1,0,0
PRAMEF11,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPCL1,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF2,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF4,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF10,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF8,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF7,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF6,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF22,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF5,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF9,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF15,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF14,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF13,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF19,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF18,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF20,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF17,0,0,0,0,0,0,0,0,0,0,0,0
LRRC38,0,0,0,0,0,0,0,1,1,0,0,0
PDPN,0,0,0,0,0,0,0,0,0,0,0,0
PRDM2,455,30,287,110,30,39,66,283,198,156,175,200
KAZN,60,16,58,19,4,5,10,35,38,16,13,17
TMEM51-AS1,110,12,91,14,8,4,2,7,12,6,1,4
TMEM51,727,70,487,162,46,59,62,281,223,152,156,173
FHAD1,12,0,5,4,3,0,3,8,3,2,1,4
EFHD2,3831,340,2793,588,212,141,349,1818,1628,744,1022,1160
CTRC,9,0,0,0,1,0,1,3,3,0,3,4
CELA2A,0,0,0,0,0,0,0,0,0,0,0,2
CELA2B,1,0,0,0,0,0,0,2,2,1,2,1
CASP9,254,22,163,64,33,19,22,168,138,46,51,50
DNAJC16,410,33,273,87,30,32,57,223,207,65,61,66
AGMAT,137,8,130,54,20,4,6,57,62,6,11,4
DDI2,87,6,50,14,4,5,8,35,23,5,18,12
RSC1A1,56,10,25,7,2,8,5,38,23,6,10,11
PLEKHM2,769,78,604,348,100,60,76,428,296,284,315,348
SLC25A34,4,0,13,1,0,0,0,3,2,2,1,0
TMEM82,0,0,0,0,0,0,0,0,0,0,0,0
FBLIM1,1000,95,739,196,52,39,50,264,259,53,68,63
UQCRHL,242,15,139,23,14,15,32,144,105,14,16,19
FLJ37453,64,5,44,15,6,4,4,19,26,11,24,12
SPEN,1460,137,928,500,132,118,173,904,642,524,567,523
ZBTB17,346,53,292,206,46,39,34,134,103,155,197,209
HSPB7,1,0,1,0,0,0,0,2,2,1,0,0
CLCNKA,13,1,4,4,0,0,0,5,5,3,0,0
CLCNKB,0,0,0,0,0,0,0,3,3,1,1,1
FAM131C,78,8,76,14,6,2,9,51,39,4,9,13
EPHA2,4352,432,3216,1396,373,349,362,1913,1503,974,1112,1085
ARHGEF19,72,4,39,18,5,6,5,49,41,17,14,13
FBXO42,394,40,274,80,30,16,39,241,185,101,106,110
SZRD1,2529,266,1798,581,150,94,250,1204,853,361,393,412
SPATA21,1,0,1,0,0,0,0,0,0,0,0,1
NECAP2,1261,112,939,208,71,51,148,680,566,189,188,191
CROCCP3,88,7,70,19,6,12,9,57,37,14,10,14
MIR3675,0,0,0,0,0,0,0,0,0,0,0,0
NBPF1,755,49,397,110,37,31,54,241,182,82,90,86
CROCCP2,263,24,184,96,19,28,19,83,77,64,48,57
MST1P2,31,1,22,8,4,1,1,8,10,5,2,7
ESPNP,0,0,1,0,0,0,0,0,0,0,0,0
MST1L,6,0,5,1,0,0,0,3,2,3,4,3
CROCC,171,18,113,30,12,12,7,40,32,10,10,16
MFAP2,0,0,0,0,0,0,0,1,0,0,0,0
ATP13A2,449,44,326,53,25,9,42,260,178,37,46,40
SDHB,1444,140,818,182,77,62,139,672,506,123,112,123
PADI2,54,5,36,12,1,0,15,51,38,9,6,8
PADI1,95,10,56,16,6,5,6,21,17,3,3,5
PADI3,42,2,8,1,0,0,2,13,17,4,2,2
PADI4,0,1,0,0,1,0,0,1,0,0,0,0
PADI6,0,0,0,0,0,0,0,0,1,0,0,0
RCC2,3606,344,2341,563,165,158,368,1851,1498,299,283,245
ARHGEF10L,316,38,244,93,25,21,22,117,91,37,39,26
ACTL8,9,0,0,4,0,0,3,2,5,0,0,0
IGSF21,0,0,0,0,0,0,0,0,0,0,0,0
KLHDC7A,635,58,385,139,31,20,55,269,177,24,33,10
PAX7,352,32,266,70,16,21,17,62,54,12,12,6
TAS1R2,1,0,0,0,0,0,0,0,0,0,1,0
ALDH4A1,1976,205,1463,289,83,66,90,450,390,42,38,34
MIR4695,0,0,0,0,0,0,0,0,0,0,0,0
IFFO2,2156,201,1411,483,130,107,178,934,810,315,346,333
UBR4,4735,379,3044,1284,344,297,469,2363,1746,1241,1274,1266
EMC1,1726,156,1131,251,77,62,194,1014,735,140,132,137
MRTO4,1493,114,840,264,64,47,176,786,686,157,171,126
AKR7L,8,0,2,0,0,2,0,5,6,3,3,1
AKR7A3,9,1,5,0,0,0,0,5,2,0,2,2
LOC100506730,20,2,13,10,0,2,4,20,15,4,0,2
AKR7A2,336,31,246,54,18,13,33,187,187,21,16,30
PQLC2,286,25,232,41,15,4,28,149,122,29,36,37
CAPZB,3933,359,2560,398,126,98,409,1923,1712,249,260,272
MINOS1,527,27,377,73,33,33,50,352,307,64,67,65
NBL1,1,0,3,0,1,0,0,0,1,0,0,0
HTR6,0,0,0,0,0,0,1,1,0,0,1,0
TMCO4,127,14,78,17,11,4,18,81,73,21,15,27
RNF186,0,0,0,0,0,0,0,0,0,0,0,0
OTUD3,134,13,67,70,11,20,17,64,51,102,151,126
PLA2G2E,0,0,0,0,0,0,0,0,0,0,0,0
PLA2G2A,0,0,0,0,0,0,0,0,0,0,0,0
PLA2G5,0,0,0,0,0,0,0,0,0,0,0,0
PLA2G2D,0,0,0,0,0,0,0,0,0,0,0,0
PLA2G2F,0,0,0,0,0,0,0,0,0,0,0,0
PLA2G2C,0,0,0,0,0,0,0,0,0,0,0,0
UBXN10,2,0,0,0,0,0,2,1,2,0,1,1
VWA5B1,0,0,0,0,0,0,0,0,0,0,0,0
CAMK2N1,485,54,329,102,26,29,172,726,680,200,207,204
MUL1,1016,96,688,207,46,52,107,554,454,143,150,142
FAM43B,9,0,7,3,0,0,2,8,12,2,6,6
CDA,628,62,442,80,22,22,27,109,121,38,43,37
PINK1,1246,123,969,159,39,34,113,557,455,129,110,124
DDOST,6307,522,4139,888,280,221,757,3517,2958,392,407,342
KIF17,12,3,17,4,1,1,5,13,12,2,9,5
SH2D5,217,24,167,113,26,19,12,58,64,60,69,65
HP1BP3,1495,118,899,446,117,124,137,687,583,270,278,311
EIF4G3,2243,198,1417,466,116,121,290,1266,934,384,361,358
ECE1,2595,297,1874,401,104,101,405,1902,1444,678,778,691
LOC100506801,12,2,5,3,2,0,4,9,10,2,1,2
NBPF3,174,13,112,24,4,2,10,67,49,14,13,17
ALPL,0,0,0,0,0,0,3,0,1,1,0,1
RAP1GAP,1046,94,796,154,35,35,86,315,243,33,27,32
USP48,910,81,500,112,30,30,100,513,392,120,155,121
LDLRAD2,1,0,0,0,0,0,0,2,5,1,1,1
HSPG2,14642,1397,10504,1196,487,278,428,2481,1635,225,238,233
CELA3B,0,0,0,0,0,0,0,0,0,0,0,0
CELA3A,0,0,0,0,0,0,0,0,2,0,0,0
LINC00339,230,19,155,75,18,11,20,126,110,32,35,43
CDC42,4701,459,2800,728,228,219,579,2498,2068,691,788,752
WNT4,4,2,5,1,2,0,3,12,6,2,3,2
ZBTB40,943,81,608,248,85,68,73,403,295,227,222,217
EPHA8,1,0,0,4,1,0,0,2,2,7,4,1
C1QA,0,0,0,0,0,0,0,1,0,1,0,0
C1QC,0,0,0,0,0,0,1,1,0,0,0,0
C1QB,0,0,0,0,0,0,0,0,0,0,0,0
EPHB2,1348,127,904,191,55,57,108,615,522,212,266,208
MIR4684,0,0,0,0,0,0,0,0,0,0,0,0
MIR4253,0,0,0,0,0,0,0,0,0,0,0,0
KDM1A,1756,155,1048,315,90,103,198,930,760,220,221,226
MIR3115,0,0,0,0,0,0,0,0,0,0,0,0
LUZP1,2326,152,1328,465,150,150,218,999,783,498,481,535
HTR1D,374,33,300,88,19,18,33,167,134,32,35,35
HNRNPR,4808,436,2496,737,223,221,555,2684,2080,573,620,597
ZNF436,382,32,217,428,108,92,37,244,143,551,585,552
TCEA3,26,3,20,8,1,3,4,18,6,5,2,3
ASAP3,184,9,102,47,7,14,17,99,88,18,18,22
E2F2,12,0,1,6,2,1,6,30,23,7,3,6
ID3,3335,341,2782,1854,538,392,202,877,826,474,433,407
MDS2,3,1,3,0,0,0,0,0,0,0,0,0
RPL11,14492,1121,8790,2982,783,887,1780,7882,6594,2252,2630,2593
PITHD1,550,56,292,108,39,29,42,266,195,111,102,92
LYPLA2,991,119,705,306,95,58,115,529,453,120,119,136
GALE,1070,100,742,185,50,34,164,649,592,151,189,175
HMGCL,546,39,297,62,30,25,66,362,342,52,56,57
FUCA1,264,25,166,53,14,15,59,270,223,59,59,55
CNR2,0,0,0,0,0,0,0,0,0,0,0,0
MIR378F,0,0,0,0,0,0,0,0,0,0,0,0
PNRC2,394,33,174,200,58,53,32,201,180,227,237,247
SRSF10,776,52,402,215,55,40,88,432,339,214,244,267
MYOM3,154,15,83,10,4,3,70,264,246,51,57,70
IL22RA1,16,0,6,4,0,1,3,23,21,43,33,27
IFNLR1,36,4,14,18,7,1,7,31,28,21,18,24
LOC284632,1,0,0,0,0,0,0,0,1,0,3,0
GRHL3,59,6,43,26,5,4,9,35,28,36,38,37
STPG1,194,14,133,13,5,7,22,95,93,33,32,27
NIPAL3,456,34,275,32,10,16,49,261,227,29,27,23
RCAN3AS,0,0,7,1,0,0,0,0,0,0,0,2
RCAN3,178,20,130,37,12,5,16,114,101,43,19,22
NCMAP,0,0,0,0,0,0,0,11,11,1,1,4
SRRM1,948,102,569,322,79,75,146,671,504,404,479,486
CLIC4,1119,134,761,313,86,59,225,1215,988,530,545,682
RUNX3,59,6,43,16,5,2,11,55,38,22,28,22
SYF2,861,71,461,282,57,58,115,543,395,335,406,477
RHD,0,0,0,0,0,0,0,0,0,0,0,0
TMEM50A,1387,121,843,264,55,69,218,982,816,265,284,260
RHCE,0,0,0,0,0,0,0,4,1,0,0,0
LDLRAP1,168,16,117,56,10,8,22,143,108,26,26,25
MAN1C1,10,1,4,4,0,1,2,13,9,4,1,1
MTFR1L,618,62,489,125,40,40,71,257,220,64,76,61
LOC646471,0,0,0,0,0,0,2,18,24,12,8,10
AUNIP,27,2,11,7,4,3,5,34,18,13,12,9
PAQR7,114,13,82,39,14,8,15,77,56,15,27,23
STMN1,696,56,388,115,31,28,124,665,513,57,89,93
MIR3917,0,0,0,0,0,0,0,0,0,0,0,0
PAFAH2,574,48,390,122,29,43,44,273,209,65,64,69
EXTL1,1,0,0,0,0,0,0,2,0,1,0,1
SLC30A2,0,0,0,0,0,0,0,1,1,0,0,0
TRIM63,0,0,0,2,0,0,1,0,0,0,0,0
PDIK1L,83,10,66,53,10,6,12,73,40,45,51,50
FAM110D,0,0,0,0,0,0,0,0,0,0,0,0
ZNF593,258,18,178,77,24,17,16,91,66,34,34,36
CNKSR1,3,0,5,3,1,1,1,1,0,7,6,11
CATSPER4,0,0,0,0,0,0,0,0,0,0,0,0
CEP85,399,35,303,80,29,30,30,158,115,50,44,40
SH3BGRL3,1331,159,926,134,40,38,198,943,802,236,239,241
UBXN11,437,24,318,87,15,22,29,151,136,30,33,29
CD52,0,0,0,0,0,0,0,4,0,2,1,0
ZNF683,0,0,0,0,0,0,0,0,0,0,0,0
LIN28A,0,0,0,1,0,0,0,0,0,1,1,1
DHDDS,520,43,351,90,27,32,48,241,201,78,82,71
HMGN2,311,29,209,298,64,49,52,279,236,189,173,171
RPS6KA1,979,87,771,258,65,49,91,439,350,144,150,136
MIR1976,0,0,0,0,0,0,0,0,0,0,0,0
ARID1A,1252,140,810,369,112,83,136,529,413,313,267,280
PIGV,235,15,160,48,11,8,39,112,114,25,26,18
ZDHHC18,780,73,622,184,54,42,118,543,404,124,131,136
SFN,4070,418,3167,544,158,118,267,1195,1019,187,199,144
GPN2,326,27,255,98,35,15,35,174,109,52,47,59
GPATCH3,299,29,166,66,12,20,28,128,92,48,43,51
NR0B2,5,1,11,1,0,0,0,0,0,0,0,0
NUDC,3040,277,1916,455,117,101,411,1910,1546,267,317,270
TRNP1,4132,369,2927,444,166,149,297,1327,1229,170,202,164
SLC9A1,836,72,616,176,42,42,115,469,331,149,188,128
WDTC1,231,19,227,47,8,10,36,202,130,47,54,49
TMEM222,247,29,201,86,15,20,42,173,142,62,72,74
SYTL1,16,1,8,9,1,0,0,8,4,0,0,2
MAP3K6,90,14,72,32,5,4,18,77,51,11,14,15
FCN3,2,0,0,0,0,0,0,0,0,0,0,0
CD164L2,0,0,0,0,0,0,0,1,1,0,1,1
GPR3,38,2,16,26,8,14,3,24,20,44,51,45
WASF2,1429,116,959,251,56,52,170,845,738,307,284,296
AHDC1,374,29,321,165,43,31,18,153,113,78,70,76
FGR,0,0,0,0,0,0,0,2,0,2,2,1
IFI6,43,7,58,53,6,14,71,334,184,1063,1129,793
FAM76A,102,13,56,14,7,14,12,57,53,16,38,21
STX12,557,75,396,143,53,33,85,411,351,160,182,147
PPP1R8,619,63,402,119,48,22,89,352,292,125,149,186
SCARNA1,1,0,0,2,1,0,0,0,0,0,0,0
THEMIS2,2,0,3,0,0,0,1,3,4,99,84,60
RPA2,643,47,357,113,29,24,106,477,334,72,57,59
SMPDL3B,106,10,75,12,7,6,10,59,56,1,1,1
XKR8,69,3,49,16,7,3,23,65,63,17,17,25
EYA3,171,15,141,100,26,20,39,167,122,138,141,122
PTAFR,26,4,25,7,4,3,6,35,41,19,9,10
DNAJC8,2391,212,1403,552,129,157,244,1083,928,513,588,544
SESN2,1872,155,1362,577,161,117,138,894,657,274,320,334
MED18,222,13,145,60,16,15,30,146,121,102,109,109
PHACTR4,924,100,535,266,67,74,108,527,405,349,303,309
SNHG3,1582,129,1038,399,85,77,78,561,421,389,448,449
RCC1,1425,116,908,245,73,80,110,578,496,96,112,106
TRNAU1AP,186,16,130,42,17,10,29,155,114,42,42,55
SNHG12,274,20,158,77,26,27,26,149,105,132,155,159
SNORD99,1,1,0,2,0,0,1,2,1,2,2,3
SNORA61,38,4,24,9,3,0,7,17,17,8,16,4
SNORA44,8,1,7,9,1,0,0,3,4,2,3,3
SNORA16A,7,1,12,10,3,2,1,5,6,1,3,0
RAB42,1,0,1,0,0,0,0,5,2,2,1,2
TAF12,268,19,141,56,16,16,35,161,130,25,30,24
RNU11,3,0,6,6,5,0,1,3,2,0,1,0
GMEB1,170,14,96,55,13,14,21,91,85,58,54,62
YTHDF2,1099,104,697,422,128,127,156,692,524,426,426,480
OPRD1,0,0,0,3,0,0,0,0,0,0,0,1
EPB41,663,49,361,208,35,26,69,303,220,118,132,113
TMEM200B,5,0,0,3,1,0,0,2,1,1,1,3
SRSF4,1017,83,587,358,89,72,145,664,526,430,457,469
MECR,303,20,198,64,17,12,32,154,151,37,29,19
PTPRU,1178,102,991,196,74,46,121,589,395,104,118,65
MATN1,1,0,1,1,0,0,0,1,1,1,0,4
MATN1-AS1,13,4,14,20,4,6,3,5,7,9,6,12
LAPTM5,25,4,17,1,0,0,1,19,3,12,1,0
MIR4420,0,0,0,0,0,0,0,0,0,0,0,0
SDC3,361,33,243,90,15,18,67,286,218,40,37,34
PUM1,1509,165,933,605,139,108,203,976,766,572,619,735
